Learning...
Will stop when curEpoch >= 2000 or bestVal >= 0.999000
Will save the best NeuraNet in ./bestnn.txt at each improvement
Will not save GenAlg
Improvement at epoch 1: 0.666667 (in 0:0:0:0s)  
epoch 2 (in 0:0:0:0s)     
epoch 3 (in 0:0:0:0s)     
epoch 4 (in 0:0:0:0s)     
epoch 5 (in 0:0:0:0s)     
epoch 6 (in 0:0:0:0s)     
epoch 7 (in 0:0:0:0s)     
epoch 8 (in 0:0:0:0s)     
epoch 9 (in 0:0:0:0s)     
epoch 10 (in 0:0:0:0s)     
epoch 11 (in 0:0:0:0s)     
epoch 12 (in 0:0:0:0s)     
epoch 13 (in 0:0:0:0s)     
epoch 14 (in 0:0:0:0s)     
epoch 15 (in 0:0:0:0s)     
epoch 16 (in 0:0:0:0s)     
epoch 17 (in 0:0:0:0s)     
epoch 18 (in 0:0:0:0s)     
epoch 19 (in 0:0:0:0s)     
epoch 20 (in 0:0:0:0s)     
epoch 21 (in 0:0:0:0s)     
epoch 22 (in 0:0:0:0s)     
epoch 23 (in 0:0:0:0s)     
epoch 24 (in 0:0:0:0s)     
epoch 25 (in 0:0:0:0s)     
epoch 26 (in 0:0:0:0s)     
epoch 27 (in 0:0:0:0s)     
epoch 28 (in 0:0:0:0s)     
epoch 29 (in 0:0:0:0s)     
epoch 30 (in 0:0:0:0s)     
epoch 31 (in 0:0:0:0s)     
epoch 32 (in 0:0:0:0s)     
epoch 33 (in 0:0:0:0s)     
epoch 34 (in 0:0:0:0s)     
epoch 35 (in 0:0:0:0s)     
epoch 36 (in 0:0:0:0s)     
epoch 37 (in 0:0:0:0s)     
epoch 38 (in 0:0:0:0s)     
epoch 39 (in 0:0:0:0s)     
epoch 40 (in 0:0:0:0s)     
epoch 41 (in 0:0:0:0s)     
epoch 42 (in 0:0:0:0s)     
epoch 43 (in 0:0:0:0s)     
epoch 44 (in 0:0:0:0s)     
epoch 45 (in 0:0:0:0s)     
epoch 46 (in 0:0:0:0s)     
epoch 47 (in 0:0:0:0s)     
epoch 48 (in 0:0:0:0s)     
epoch 49 (in 0:0:0:0s)     
epoch 50 (in 0:0:0:0s)     
epoch 51 (in 0:0:0:0s)     
epoch 52 (in 0:0:0:0s)     
epoch 53 (in 0:0:0:0s)     
epoch 54 (in 0:0:0:0s)     
epoch 55 (in 0:0:0:0s)     
epoch 56 (in 0:0:0:0s)     
epoch 57 (in 0:0:0:0s)     
epoch 58 (in 0:0:0:0s)     
epoch 59 (in 0:0:0:0s)     
epoch 60 (in 0:0:0:0s)     
epoch 61 (in 0:0:0:0s)     
epoch 62 (in 0:0:0:0s)     
epoch 63 (in 0:0:0:0s)     
epoch 64 (in 0:0:0:0s)     
epoch 65 (in 0:0:0:0s)     
epoch 66 (in 0:0:0:0s)     
epoch 67 (in 0:0:0:0s)     
epoch 68 (in 0:0:0:0s)     
epoch 69 (in 0:0:0:0s)     
epoch 70 (in 0:0:0:0s)     
epoch 71 (in 0:0:0:0s)     
epoch 72 (in 0:0:0:0s)     
epoch 73 (in 0:0:0:0s)     
epoch 74 (in 0:0:0:0s)     
epoch 75 (in 0:0:0:0s)     
epoch 76 (in 0:0:0:0s)     
epoch 77 (in 0:0:0:0s)     
epoch 78 (in 0:0:0:0s)     
epoch 79 (in 0:0:0:0s)     
epoch 80 (in 0:0:0:0s)     
epoch 81 (in 0:0:0:0s)     
epoch 82 (in 0:0:0:0s)     
epoch 83 (in 0:0:0:0s)     
epoch 84 (in 0:0:0:0s)     
epoch 85 (in 0:0:0:0s)     
epoch 86 (in 0:0:0:0s)     
epoch 87 (in 0:0:0:0s)     
epoch 88 (in 0:0:0:0s)     
epoch 89 (in 0:0:0:0s)     
epoch 90 (in 0:0:0:0s)     
epoch 91 (in 0:0:0:0s)     
epoch 92 (in 0:0:0:0s)     
epoch 93 (in 0:0:0:0s)     
epoch 94 (in 0:0:0:0s)     
epoch 95 (in 0:0:0:0s)     
epoch 96 (in 0:0:0:0s)     
epoch 97 (in 0:0:0:0s)     
epoch 98 (in 0:0:0:0s)     
epoch 99 (in 0:0:0:0s)     
epoch 100 (in 0:0:0:0s)     
epoch 101 (in 0:0:0:0s)     
epoch 102 (in 0:0:0:0s)     
epoch 103 (in 0:0:0:0s)     
epoch 104 (in 0:0:0:0s)     
epoch 105 (in 0:0:0:0s)     
epoch 106 (in 0:0:0:0s)     
epoch 107 (in 0:0:0:0s)     
epoch 108 (in 0:0:0:0s)     
epoch 109 (in 0:0:0:0s)     
epoch 110 (in 0:0:0:0s)     
epoch 111 (in 0:0:0:0s)     
epoch 112 (in 0:0:0:0s)     
epoch 113 (in 0:0:0:0s)     
epoch 114 (in 0:0:0:0s)     
epoch 115 (in 0:0:0:0s)     
epoch 116 (in 0:0:0:0s)     
epoch 117 (in 0:0:0:0s)     
epoch 118 (in 0:0:0:0s)     
epoch 119 (in 0:0:0:0s)     
epoch 120 (in 0:0:0:0s)     
epoch 121 (in 0:0:0:1s)     
epoch 122 (in 0:0:0:1s)     
epoch 123 (in 0:0:0:1s)     
epoch 124 (in 0:0:0:1s)     
epoch 125 (in 0:0:0:1s)     
epoch 126 (in 0:0:0:1s)     
epoch 127 (in 0:0:0:1s)     
epoch 128 (in 0:0:0:1s)     
epoch 129 (in 0:0:0:1s)     
epoch 130 (in 0:0:0:1s)     
epoch 131 (in 0:0:0:1s)     
epoch 132 (in 0:0:0:1s)     
epoch 133 (in 0:0:0:1s)     
epoch 134 (in 0:0:0:1s)     
epoch 135 (in 0:0:0:1s)     
epoch 136 (in 0:0:0:1s)     
epoch 137 (in 0:0:0:1s)     
epoch 138 (in 0:0:0:1s)     
epoch 139 (in 0:0:0:1s)     
epoch 140 (in 0:0:0:1s)     
epoch 141 (in 0:0:0:1s)     
epoch 142 (in 0:0:0:1s)     
epoch 143 (in 0:0:0:1s)     
epoch 144 (in 0:0:0:1s)     
epoch 145 (in 0:0:0:1s)     
epoch 146 (in 0:0:0:1s)     
epoch 147 (in 0:0:0:1s)     
epoch 148 (in 0:0:0:1s)     
epoch 149 (in 0:0:0:1s)     
epoch 150 (in 0:0:0:1s)     
epoch 151 (in 0:0:0:1s)     
epoch 152 (in 0:0:0:1s)     
epoch 153 (in 0:0:0:1s)     
epoch 154 (in 0:0:0:1s)     
epoch 155 (in 0:0:0:1s)     
epoch 156 (in 0:0:0:1s)     
epoch 157 (in 0:0:0:1s)     
epoch 158 (in 0:0:0:1s)     
epoch 159 (in 0:0:0:1s)     
epoch 160 (in 0:0:0:1s)     
epoch 161 (in 0:0:0:1s)     
epoch 162 (in 0:0:0:1s)     
epoch 163 (in 0:0:0:1s)     
epoch 164 (in 0:0:0:1s)     
epoch 165 (in 0:0:0:1s)     
epoch 166 (in 0:0:0:1s)     
epoch 167 (in 0:0:0:1s)     
epoch 168 (in 0:0:0:1s)     
epoch 169 (in 0:0:0:1s)     
epoch 170 (in 0:0:0:1s)     
epoch 171 (in 0:0:0:1s)     
epoch 172 (in 0:0:0:1s)     
epoch 173 (in 0:0:0:1s)     
epoch 174 (in 0:0:0:1s)     
epoch 175 (in 0:0:0:1s)     
epoch 176 (in 0:0:0:1s)     
epoch 177 (in 0:0:0:1s)     
epoch 178 (in 0:0:0:1s)     
epoch 179 (in 0:0:0:1s)     
epoch 180 (in 0:0:0:1s)     
epoch 181 (in 0:0:0:1s)     
epoch 182 (in 0:0:0:1s)     
epoch 183 (in 0:0:0:1s)     
epoch 184 (in 0:0:0:1s)     
epoch 185 (in 0:0:0:1s)     
epoch 186 (in 0:0:0:1s)     
epoch 187 (in 0:0:0:1s)     
epoch 188 (in 0:0:0:1s)     
epoch 189 (in 0:0:0:1s)     
epoch 190 (in 0:0:0:1s)     
epoch 191 (in 0:0:0:1s)     
epoch 192 (in 0:0:0:1s)     
epoch 193 (in 0:0:0:1s)     
epoch 194 (in 0:0:0:1s)     
epoch 195 (in 0:0:0:1s)     
epoch 196 (in 0:0:0:1s)     
epoch 197 (in 0:0:0:1s)     
epoch 198 (in 0:0:0:1s)     
epoch 199 (in 0:0:0:1s)     
epoch 200 (in 0:0:0:1s)     
epoch 201 (in 0:0:0:1s)     
epoch 202 (in 0:0:0:1s)     
epoch 203 (in 0:0:0:1s)     
epoch 204 (in 0:0:0:1s)     
epoch 205 (in 0:0:0:1s)     
epoch 206 (in 0:0:0:1s)     
epoch 207 (in 0:0:0:1s)     
epoch 208 (in 0:0:0:1s)     
epoch 209 (in 0:0:0:1s)     
epoch 210 (in 0:0:0:1s)     
epoch 211 (in 0:0:0:1s)     
epoch 212 (in 0:0:0:1s)     
epoch 213 (in 0:0:0:1s)     
epoch 214 (in 0:0:0:1s)     
epoch 215 (in 0:0:0:1s)     
epoch 216 (in 0:0:0:1s)     
epoch 217 (in 0:0:0:1s)     
epoch 218 (in 0:0:0:1s)     
epoch 219 (in 0:0:0:1s)     
epoch 220 (in 0:0:0:1s)     
epoch 221 (in 0:0:0:1s)     
epoch 222 (in 0:0:0:1s)     
epoch 223 (in 0:0:0:1s)     
epoch 224 (in 0:0:0:1s)     
epoch 225 (in 0:0:0:1s)     
epoch 226 (in 0:0:0:1s)     
epoch 227 (in 0:0:0:1s)     
epoch 228 (in 0:0:0:1s)     
epoch 229 (in 0:0:0:1s)     
epoch 230 (in 0:0:0:1s)     
epoch 231 (in 0:0:0:1s)     
epoch 232 (in 0:0:0:1s)     
epoch 233 (in 0:0:0:1s)     
epoch 234 (in 0:0:0:1s)     
epoch 235 (in 0:0:0:1s)     
epoch 236 (in 0:0:0:1s)     
epoch 237 (in 0:0:0:1s)     
epoch 238 (in 0:0:0:1s)     
epoch 239 (in 0:0:0:1s)     
epoch 240 (in 0:0:0:1s)     
epoch 241 (in 0:0:0:1s)     
epoch 242 (in 0:0:0:1s)     
epoch 243 (in 0:0:0:1s)     
epoch 244 (in 0:0:0:1s)     
epoch 245 (in 0:0:0:1s)     
epoch 246 (in 0:0:0:1s)     
epoch 247 (in 0:0:0:1s)     
epoch 248 (in 0:0:0:1s)     
epoch 249 (in 0:0:0:1s)     
epoch 250 (in 0:0:0:1s)     
epoch 251 (in 0:0:0:1s)     
epoch 252 (in 0:0:0:1s)     
epoch 253 (in 0:0:0:1s)     
epoch 254 (in 0:0:0:1s)     
epoch 255 (in 0:0:0:1s)     
epoch 256 (in 0:0:0:1s)     
epoch 257 (in 0:0:0:1s)     
epoch 258 (in 0:0:0:1s)     
epoch 259 (in 0:0:0:1s)     
epoch 260 (in 0:0:0:1s)     
epoch 261 (in 0:0:0:1s)     
epoch 262 (in 0:0:0:1s)     
epoch 263 (in 0:0:0:1s)     
epoch 264 (in 0:0:0:1s)     
epoch 265 (in 0:0:0:1s)     
epoch 266 (in 0:0:0:1s)     
epoch 267 (in 0:0:0:1s)     
epoch 268 (in 0:0:0:1s)     
epoch 269 (in 0:0:0:1s)     
epoch 270 (in 0:0:0:1s)     
epoch 271 (in 0:0:0:1s)     
epoch 272 (in 0:0:0:1s)     
epoch 273 (in 0:0:0:1s)     
epoch 274 (in 0:0:0:1s)     
epoch 275 (in 0:0:0:1s)     
epoch 276 (in 0:0:0:1s)     
epoch 277 (in 0:0:0:1s)     
epoch 278 (in 0:0:0:1s)     
epoch 279 (in 0:0:0:1s)     
epoch 280 (in 0:0:0:1s)     
epoch 281 (in 0:0:0:1s)     
epoch 282 (in 0:0:0:1s)     
epoch 283 (in 0:0:0:1s)     
epoch 284 (in 0:0:0:1s)     
epoch 285 (in 0:0:0:1s)     
epoch 286 (in 0:0:0:1s)     
epoch 287 (in 0:0:0:1s)     
epoch 288 (in 0:0:0:1s)     
epoch 289 (in 0:0:0:1s)     
epoch 290 (in 0:0:0:1s)     
epoch 291 (in 0:0:0:1s)     
epoch 292 (in 0:0:0:1s)     
epoch 293 (in 0:0:0:1s)     
epoch 294 (in 0:0:0:1s)     
epoch 295 (in 0:0:0:1s)     
epoch 296 (in 0:0:0:1s)     
epoch 297 (in 0:0:0:1s)     
epoch 298 (in 0:0:0:1s)     
epoch 299 (in 0:0:0:1s)     
epoch 300 (in 0:0:0:1s)     
epoch 301 (in 0:0:0:1s)     
epoch 302 (in 0:0:0:1s)     
epoch 303 (in 0:0:0:1s)     
epoch 304 (in 0:0:0:1s)     
epoch 305 (in 0:0:0:1s)     
epoch 306 (in 0:0:0:1s)     
epoch 307 (in 0:0:0:1s)     
epoch 308 (in 0:0:0:1s)     
epoch 309 (in 0:0:0:2s)     
epoch 310 (in 0:0:0:2s)     
epoch 311 (in 0:0:0:2s)     
epoch 312 (in 0:0:0:2s)     
epoch 313 (in 0:0:0:2s)     
epoch 314 (in 0:0:0:2s)     
epoch 315 (in 0:0:0:2s)     
epoch 316 (in 0:0:0:2s)     
epoch 317 (in 0:0:0:2s)     
epoch 318 (in 0:0:0:2s)     
epoch 319 (in 0:0:0:2s)     
epoch 320 (in 0:0:0:2s)     
epoch 321 (in 0:0:0:2s)     
epoch 322 (in 0:0:0:2s)     
epoch 323 (in 0:0:0:2s)     
epoch 324 (in 0:0:0:2s)     
epoch 325 (in 0:0:0:2s)     
epoch 326 (in 0:0:0:2s)     
epoch 327 (in 0:0:0:2s)     
epoch 328 (in 0:0:0:2s)     
epoch 329 (in 0:0:0:2s)     
epoch 330 (in 0:0:0:2s)     
epoch 331 (in 0:0:0:2s)     
epoch 332 (in 0:0:0:2s)     
epoch 333 (in 0:0:0:2s)     
epoch 334 (in 0:0:0:2s)     
epoch 335 (in 0:0:0:2s)     
epoch 336 (in 0:0:0:2s)     
epoch 337 (in 0:0:0:2s)     
epoch 338 (in 0:0:0:2s)     
epoch 339 (in 0:0:0:2s)     
epoch 340 (in 0:0:0:2s)     
epoch 341 (in 0:0:0:2s)     
epoch 342 (in 0:0:0:2s)     
epoch 343 (in 0:0:0:2s)     
epoch 344 (in 0:0:0:2s)     
epoch 345 (in 0:0:0:2s)     
epoch 346 (in 0:0:0:2s)     
epoch 347 (in 0:0:0:2s)     
epoch 348 (in 0:0:0:2s)     
epoch 349 (in 0:0:0:2s)     
epoch 350 (in 0:0:0:2s)     
epoch 351 (in 0:0:0:2s)     
epoch 352 (in 0:0:0:2s)     
epoch 353 (in 0:0:0:2s)     
epoch 354 (in 0:0:0:2s)     
epoch 355 (in 0:0:0:2s)     
epoch 356 (in 0:0:0:2s)     
epoch 357 (in 0:0:0:2s)     
epoch 358 (in 0:0:0:2s)     
epoch 359 (in 0:0:0:2s)     
epoch 360 (in 0:0:0:2s)     
epoch 361 (in 0:0:0:2s)     
epoch 362 (in 0:0:0:2s)     
epoch 363 (in 0:0:0:2s)     
epoch 364 (in 0:0:0:2s)     
epoch 365 (in 0:0:0:2s)     
epoch 366 (in 0:0:0:2s)     
epoch 367 (in 0:0:0:2s)     
epoch 368 (in 0:0:0:2s)     
epoch 369 (in 0:0:0:2s)     
epoch 370 (in 0:0:0:2s)     
epoch 371 (in 0:0:0:2s)     
epoch 372 (in 0:0:0:2s)     
epoch 373 (in 0:0:0:2s)     
epoch 374 (in 0:0:0:2s)     
epoch 375 (in 0:0:0:2s)     
epoch 376 (in 0:0:0:2s)     
epoch 377 (in 0:0:0:2s)     
epoch 378 (in 0:0:0:2s)     
epoch 379 (in 0:0:0:2s)     
epoch 380 (in 0:0:0:2s)     
epoch 381 (in 0:0:0:2s)     
epoch 382 (in 0:0:0:2s)     
epoch 383 (in 0:0:0:2s)     
epoch 384 (in 0:0:0:2s)     
epoch 385 (in 0:0:0:2s)     
epoch 386 (in 0:0:0:2s)     
epoch 387 (in 0:0:0:2s)     
epoch 388 (in 0:0:0:2s)     
epoch 389 (in 0:0:0:2s)     
epoch 390 (in 0:0:0:2s)     
epoch 391 (in 0:0:0:2s)     
epoch 392 (in 0:0:0:2s)     
epoch 393 (in 0:0:0:2s)     
epoch 394 (in 0:0:0:2s)     
epoch 395 (in 0:0:0:2s)     
epoch 396 (in 0:0:0:2s)     
epoch 397 (in 0:0:0:2s)     
epoch 398 (in 0:0:0:2s)     
epoch 399 (in 0:0:0:2s)     
epoch 400 (in 0:0:0:2s)     
